"","text"
"64","ctvqp yes stop travelling   pandemic donate  money  immunize  world"
"65","  unvaxxed   cause   pandemic   despite  vaccinated  spreads  virus amp    test especially  travelling  vaccinehumour novaccinepassports"
"66","saying  shouldn travel   pandemic    risks  travelling  response    fucking ridiculous   ve  vaccinated    pcr tests maybe    covid     paying    quarantine hotel "
"67","covidsolidarit xtrtrrstrl      government     partied   worst  pandemic  christmas    senior advisor    travelling length  england    suffering  covid"
"68"," people  pick   virus   stayed    month travelling     post xmas lockdown  son     sick  months   help  else  helping   job   pandemic    prep  attend  stand  morgue"
"69","guardian     rail network  frequent services   pandemic recedes  climate change   major challenge   people  stop travelling  car  move  trains    bonkers"
"70","seunghoon  sweetest    pandemic     start  travelling vlog   bestie  enlist   hoony  seunghoon officialhoony "
"71","goodbye germany  hello australia   travelling   pandemic  via   patreon   instagram puntingforthepeople business  youtube"
"72","filipfrid whatkaileysaid westjet    thank   filling   forms  telling    claim   processed   heard    pandemic drags   likelihood   travelling dwindles  wonder      waiting  money   rightfully ours "
"73","travelling   polar expedition   pandemic    experience   people     luckily  egucr egublogs ninja   trusty scientist sidekick dareliuselin  shared  adventure   lego comic read   "
"74","thank    story   traveller  missed travelling   pandemic lockdown    travel addict "
"75","miss travelling     hope  travelling      addiction     mere hobby thanks   covid global pandemic  am  desperate        plane  promise   complain   hauls   future"
"76","yes travelling  tanzania   pandemic  travel adventure safari"
"77","ringrust via ewrestlingnews updated match list  mcmahonopolis travelling circus spectacular dayone  peacocktv   disunitedstatesofdiabeetusberg amp wwenetwork  countries   doing whats      pandemic "
"78","bariiiiiq omg  looove      booster  requirement  travelling      pcr   travel haven     pandemic started     sounded    logistical nightmare   tweet  calling   "
"79","haggisuk  andrewmarr  aware    pre tests  people travelling  uk   standard procedure   pandemic       planned strategy      late"
"80","itsemilykaty      students wishing   gap   time   travelling  globetrotting  pandemic       abit     "
"81","travelling  tanzania   pandemic  luxury travel blog  luxurytravel "
"82","thebtaorg clivewratten  sector   impacted   pandemic     choose  loss  profits  loss  lives  guess     profits     unnecessary loss  lives   untested people travelling  world  perpetuating  mess "
"83","yodifiji stop pandering  uk travellers abroadthey   risk travelling   world pandemic    suck   consequenceswe       scrambling  beat  restrictionsfor god sake   outor stick     quantine hotels  return"
"84","fionasdaly   pandemic fiona  shouldnt  travelling  theres  sofa   name   stay  "
"85","  pope   age  travelling   middle   pandemic    mask  pope francis visits asylum seekers  lesbos island  via rte"
"86","travelling   international pandemic      fainthearted packs traveltuesday   socialmedia"
"87","lauraaj     pandemic    travelling  waterloo  euston  week    deserted   basically   trains   "
"88","youngeconomist ballouxfrancois yes indeed amp  cost  borne    choose  travel   pandemic notwithstanding  choices  harder      messages   travelling    definitions        hit  economy possibly harder"
"89"," shouldnt  travelling    tourism industry complaigning     able  visit customers    trade   months   pandemic travelling  holidays   smart im  extra risk     elderly family"
"90","aaronboothuk carldinnen  guess   insist  travelling   global pandemic"
"91","travelling   country   pandemic   cumbersome   external factors   beyond  control imagine testing positive     board   vacay    stuck   country  quarantine  time  finished   money  vacay "
"92","  pandemic started  china  posture   save  world  theres   variant      africa            world  posture   ban africa    im   fussed  travelling   continents"
"93","heathrownoise grantshapps sajidjavid    hour   am planes      london   minutes    pandemic    variant     climate crisis   travelling   covid mentalhealth climateactionnow"
"94","cbcnews     cdns living abroad  travelling abroad      protect  health  cdns living   amp  healthcare system       entry except cdns   abide   rules months  telling cdns pandemic rules change amp  prepared"
"95","heathrownoise    sunday morning    plane      people travelling   pandemic    climate crisis planestupid heathrowmustnotexpand"
"96","apropos  cy goddard    central coast    boy  country   choose  play     australia    pandemic   travelling  japan hard  japan   unlikely  start   "
"97"," coronavirus pandemic      bind travelling   restricted   meeting  extended family   friends thanks post signature   christmaspresents "
"98","yvesrees theres  pandemic   people travelling     city  congregate   spot      stupid   protest"
"99","tassiedevil im thinking   relatives  mine  jumped  cue  vaccines    safe recreationally travelling     pandemic"
"100","   discovered   covid pandemic stopped   travelling       local  road trips roadtrips travel covid newnormal localtravel "
"101","     institution   beginning     wouldnt   teach  unit  home    students  begging     virtual     unsafe   travelling  london  bristol   pandemic half  pay   trains "
"102","gavreilly  makes  sense alright      risk  risk  goes  travelling abroad   pandemic      allowing covid positive travellers board planes   viable alternative"
"103","pandemic restrictions  easing  travelling  starting  ramp   mark international day  clean air  blue skies    simcenter     help clean   air  simcenter aviation cleanairforall "
"104","   mother   french    sending  child  school  france     uproar   family travelling   taxpayer salary   fucking pandemic"
"105","pandemic restrictions  easing  travelling  starting  ramp   mark international day  clean air  blue skies    simcenter     help clean   air  simcenter aviation cleanairforall "
"106","  time travelling   pandemic started   handbag    disposable masks  anti bac wipes  bloody  chaps"
"107","ritapanahi wow thats  ours cost   start   pandemic guess  arent  pcr tests  australia     travelling"
"108","cardiffrugbyweb rugbyap maybe morons shouldn  themselves    ridicule   league   bad   quit  tough shit    pandemic    risk  travelling abroad fuck      welsh government"
"109","  artists adapt  creative process  pandemic annesophie emard combining    live experiences amp  urge  convey  travelling limitations implementing    digital channels   source  information amp communication creartconference creartvll "
"110","  travelling   homes     variant      difficult  understand airlines  suffered      helped      pandemic humble request please "
"111","travelling   polar expedition   pandemic    experience   people     luckily  egucr egublogs ninja   trusty scientist sidekick dareliuselin  shared  adventure   lego comic read   "
"112","stxdm rugbyap    hemispheres   pandemic    playing  countries  little   travelling fans officials  games   employed    people   players   refereeing   dead league     "
"113","   try  avoid travel   days   pandemic      avoid travelling  indigoe   usual indigo  misses  opportunity  cheat  loot passengers  carry  screenshot  web checkin else ready  pay  penalty"
"114","  pandemic      people   travelling     honestly   vaccination status   required   pandemic   look beyond      "
"115","travelling   international pandemic      fainthearted packs traveltuesday   socialmedia"
"116","justintrudeau jjhorgan omnitron    pandemic   vaccinated   rule     ones travelling thanks   heeding   own warning     pandemic  selfishly   unnecessary trips"
"117"," speaking   lok sabha  forth  query  aviation ministry      initiative  establish minimum standard operating procedures   ease  vaccinated passengers  establish uniformity  travelling   pandemic mocagoi covid "
"118","beingsalmankhan   global pandemic       backi   virus   thru   visits india    eyes  red fill smell bad  nose     care     travelling  "
"119","pandemic restrictions  easing  travelling  starting  ramp   mark international day  clean air  blue skies    simcenter     help clean   air  simcenter aviation cleanairforall "
"120","pandemic restrictions  easing  travelling  starting  ramp   mark international day  clean air  blue skies    simcenter     help clean   air  simcenter aviation cleanairforall "
"121","pandemic restrictions  easing  travelling  starting  ramp   mark international day  clean air  blue skies    simcenter     help clean   air  simcenter aviation cleanairforall "
"122","pandemic restrictions  easing  travelling  starting  ramp   mark international day  clean air  blue skies    simcenter     help clean   air  simcenter aviation cleanairforall "
"123","maycarlen hahaha    deliver  variant   country   die      spreading corona don blame   unvaccinated people blame  people  travelling   world    pandemic"
"124","indianindex harshmadhusudan   half    trains  shut  passengers travelling   railways   drastically reducedthanks  pandemic ofcourse  death index    zero"
"125","sulapesi   maybe     try check   electrical retailers sorry       havent  travelling recently due   pandemic"
"126","  hope  pandemic   soon  miss  beach  travelling  "
"127","pandemic restrictions  easing  travelling  starting  ramp   mark international day  clean air  blue skies    simcenter     help clean   air  simcenter aviation cleanairforall "
"128"," book musicscapes  scotland vignettes  prehistory  pandemic     amazon     bookshop      paddledoo books site   kindles  release  folk amp traditional music travelling folk dec scottishmusic "
"129","artoferin oh wow    amazing ll actually   mid   knock  wood re pandemic   seattle  hopefully travelling   bit"
"130","justintrudeau jjhorgan adriandix  delta variant  dubbed  pandemic   unvaccinated  unvaccinated  banned  travelling   omnicron   dubbed  pandemic   vaccinated      ones allowed  travel"
"131","dfisman     virus    hospital  travelling via  human     aerosol transmission blowing  outdoors   indoors"
"132","starvancouver     guessed  travelling   pandemic   problematic  figure"
"133","mywestldn   risk   travelling   pandemic"
"134","bcdelaney trishgreenhalgh   hundreds  senior clinicians travelling   world  spend time sharing indoor space   conference  days   middle   pandemic"
"135","peterobinson hope  damn pandemic settles  allows easier travelling sick   masks  covid"
"136","iaatkinson  dont     idea  ensure people travelling   pandemic  whatever reason   easily professionally  accurately  tested    dont  governments provide   access   airport    heathrow express  sell "
"137","jannarden  decided precovid  spend  time  money travelling  canada   pandemic   cemented  pledge   mean  car travel   flying  couldnt relax     intl trip"
"138","  guardiannigeria piece travelling   era  covid pandemic "
"139","drtcombs huyenkle  am    happily   travelling  pandemic plus  sizzling planet    power telling     planned  hybrid"
"140","ve listened  significantlyyyy  music   normally    defo  result  pandemic    listen  music   travelling  especially     lot     usual obviously"
"141","faefaehyung sadly  don        rule  korean nationals  response   omicron variant   didn            guess travelling   pandemic     carry  risk "
"142","travelling solo    time    nervewracking  cathartic experience  doing    pandemic     story  "
"143","travelling   era  covid pandemic  guardian nigerianews "
"144"," left wing debating travel bans makes  insane    pandemic    travelling  world     nonessential travel  havent       am concerned stay home  shut  unless travel  essential    "
"145","gbnews      believe   dont  remember   mess     pandemic    beginning  wasnt transmittable  humans     didnt   stop travelling    masks    didnt       "
"146","travelling   era  covid pandemic  guardian nigeria news nigeria  world news "
"147","   people  toronto  travelling   city    pandemic  according   city  toronto report    situation   spell danger   holiday season approaches cityoftoronto cityoftoronto traffic travelling pandemic "
"148","yeonkook sexisiyeon naur totoo anyway  weren   pandemic  money   spent  travelling instead hahaha"
"149","correction  ccpprc suppressed  detection   travel restrictions leveraged     travel   throttle   countries coerced   delay pandemic declaration massively infected northern italy  travelling factory workers "
"150","travelling   era  covid pandemic "
"151"," morning clivewratten   bbcnews talking   devastating impact    restrictions  international business travel  imperative  corporates  confidence  travelling  vital reasons   try  recover   pandemic yourbta covid"
"152","rafaelbehr pmdfoster helenebismarck  luck  im  travelling miles   family birthday party  saturday  im  kittens damn pandemic"
"153"," im looking  people   uk     changed  commute   pandemic  example  person im speaking    travelling    electronic skateboard maybe   cycle walk   miles    skip      journorequest"
"154","blog link  throwback  staycation  changicove  singapore   pandemic changi hotel stay sleep bed restaurant buffet eat heritage fun play journey holiday vacation wanderlust trip travel blog travelblog travelblogger "
"155","uberindia   travelling  uber   feel safe   pandemic uber  try       drivers  passengers cover    masks  requested below driver  wear mask   replied ab  corona nae hai sir  didnt obey  rule "
"156","mickyg hulleysofbaslow theoutdoorcity cpre   launched     pandemic  maybe odds      start  folk feel ok travelling    confined space   maskwearing strangers"
"157","bbcnews  wouldn   risk  travelling  abroad   pandemic  foolhardy     yourself  blame   goes wrong"
"158","openureyes vladimirootin chrissaccoccia yes september chris   travelling   europe   beginning   pandemic     restrictions   implementing  covid reached  ahead  north america    repeating   experienced "
"159","        married friends   planning  vacation  real hard   period  time      harder coz    travelling solo   bloody pandemic "
"160","asbrexit skynews people   decided  live abroad wont  able  travel  easily       health amp lives  risk     million   seen family   country   start   pandemic   travelling covid rats spreading virus randomly"
"161"," aware   covid pandemic means  advice  change  short notice  travelling check     information "
"162","received blessings  dr mansukhmandviya sir  travelling  russia   international prize    ceremony  motivation  guidance enabled   help maximum people   pandemic mohfwindia officeofmm "
"163","travelling   international pandemic      fainthearted packs traveltuesday   socialmedia"
"164","dear indigoe  senior citizen inlaws   travelling cjbpnq  week   terrified  travel   pandemic     cjb   assure   help   checkin"
"165"," aware   covid pandemic means  advice  change  short notice  travelling check     information"
"166","prairiecentrist    exact reason   am opposed  nonessential travelers   income countries travelling  low income countries   pandemic   fall ill    countrys limited resources amp potentially spread virus   travel amongst undervaccinated pops"
"167","denisegan alexberesfordtv  travelling  pandemic   stop im happy  guarantee   country  weeks  sadly   unvaccinated  travel   attend concerts       amazing   double    rug"
"168","travelling   pandemic means     prepared   plans   interrupted  short notice  key   book   providers  allow flexibility   change     updated travel guide  smartraveller  "
"169","sharkawymd prairiecentrist didnt germany  identify   guy   link  south african travelling  contact  pandemic management   getting worst  worst isnt   definition  insanity doing        hoping    outcome"
"170","jesminbau ya   travelling anytime soon  due   pandemic  worth  time    quarantine  placed"
"171","sas   yearend results burdened   pandemic  news travel aviation avgeek air flights airlines flyer travellers travelling"
"172","jackvwbacon paulmitchellab     travelso   spread covid    people travelling  double jabbed  pandemic   vaccinated"
"173","oh    hate  freaking pandemic  travelling   annoying"
"174","richardzussman   people travelling  bc  nigeria     worldwide pandemic           vaccinated"
"175","bryanpassifiume air moroc cancelled flights   ma   time prepandemic    airline canceling flights     gac goc repeatedly warns travelers   risk  travelling internationally   pandemic amp risks  traveling  ma    "
"176","travelling  global pandemic havent learned   change   instant  whine govt doesnt drop   save  arse despite    boat er plane    help sit tight amp    lucky       country   help "
"177"," live  seattle   wouldnt    convention   pandemic  cant  imagine travelling    "
"178","travel insurance   cover    decision   government     closes borders mandates       quarantine    sort  governmentmandated decision  "
"179","  planning  travelling overseas weve seen  increase     people applyingreapplying  australian  overseas passports     people   talking  travelling overseas   pandemic       "
"180","travelling   pandemic plan   insurance wont cover insurance council "
"181","richards jofus jonathanpienews  travelled sout east asia extensively   tell   dont wear masks   time pre pandemic    rarely wear masks    actually sick  travelling  bike  dusty congested "
"182","  contestants   chase    travelling   win  money   bognor regis   pandemic  aint  "
"183","people  travelling   city    pandemic   deciding  drive    modes report "
"184","  seeing people talking   ve  travelling  lot  tiktok       aww cute    realized  people    multiple countries   recreation   pandemic  damn  privilege smh"
"185","travelling   global pandemic  risky business  cdns stuck  sa maybe    waited"
"186","hannahwoolmer  pandemic  stopped travelling  people   getaway     people   "
"187","sarahallsop theonew realdenisewelch freemanhospital southtees newcastlehosps yes beds prior   pandemic       ve     aged obese amp   comorbiditiesamp      vaccinated demographics    playi   perfusionist hubby  seen  travelling   country"
"188","dianemarieposts gladysrbates  travelling     pandemic     alternate plan    shit goes "
"189","deetoriadee fuzzywuzzyto   wasn  beach vacation  holiday getaway travel  allowed    pandemic protocols  maintained mystified   partner travelling    wherever  family lives      couple situation caught  multicountry sa flight ban"
"190"," pandemic    transport minister omaralghabra    people  thinking  travelling     travelling requirements  change"
"191","hutch mrbluesboy rhysblumberg tomshanklin welshgovernment cardiffrugby prifweinidog elunedmorgan urcofficial     pandemic   started travel   restricted  clubs  travelling   time   possibility  restrictions   looming"
"192","exploreruk redskykite    lie   compound  lie  accusing     doing   try travelling tabby       week scotland       england     look  figs   pandemic scotland usually lower tha uk"
"193","joeharvey  bad   normal times  tonight belgium similar  week   earth      pandemic  teams travelling   europe  games   nailed  theyll lose  double digits"
"194"," pandemic       people won sit  fuck   stop     weeks maybe  month tops        badly huh  virus doesn travel people    height   pandemic people   travelling sick   shit"
"195","tonitaylor    stopped travelling     pandemic relatively quickly"
"196"," cant   urc season surviving  fiasco  teams travelling  sa   middle   pandemic    able  protect themselves  covid       untenable bin     play  european season"
"197","  aware   covid pandemic means  advice  change  short notice  travelling check     information "
"198","try      cant summon   scintilla  sympathy   arseholes    travelling   countries   global pandemic winter holidays aint essential travel reportingscotland"
"199","travelling        pandemic      difficult  imagine uhlokozwa ikhala   times  monththat process   fun  "
"200","makaitah      overrated  aimed  people   illiterate  travelling    money  common sense kenya recently learnt  hard  ie global pandemic   luxury tourism  survive    money  targeting  own kenyan citizens"
"201"," latte   day  steady  nerves  travelling   pandemic btstwt        love       btsarmy ptdonstagela "
"202","james blockfash logicalfallac autumnthunder gnev   lost   travelling abroad   beyond   people   desperate  travel  theres  global pandemic      start thinking  dont  parents abroad  lived     "
"203","haydndavies liamjoecook welshgovernment welshrugbyunion urcofficial  professional sportspeople   preferential treatment   singling  rugby players people   abroad amp  family overseas    deal   risks  travelling brings   global pandemic   choose    deal   consequences"
"204","mtownsendgolf golfmonthly dalewhitnell nolayingup johnstonliam oliverfarr wow   tale  woe   pandemic      risk travelling"
"205","downgerd lunchtimelivent andreagilligan    glad       time travelling   pandemic    highrisk family   home     lot   peers  piling   hall  students  knowing  safe    whilst    completely viable alternative isn"
"206","travelling   polar expedition   pandemic    experience   people     luckily  egucr egublogs ninja   trusty scientist sidekick dareliuselin  shared  adventure   lego comic read   "
"207"," spent   day calling  travel agency   airlines   day  im        pro tip  travelling   pandemic  book directly   airline liek holy shit maybe   particular travel agency  goddamn "
"208","travellingjake mypenceworth travelbiznews  sound  bit thick jake yes travel     modern world     middle   biggest pandemic   century  borders shouldve  shut   february   wait months    virus  amp   shutting   travelling  wait"
"209","rising covid vaccination rates   people  confident  travelling  airports   united  registering    busiest days    pandemic  thanksgivings day   automotive mobility automotivenews"
"210","idec     selfish   ive    cancel  holiday   fourth time due  covid  pandemic  actual hell  travelling         life "
"211","rachaelvenables lbc     price  travelling    pandemic       people  holidays  christmas        worth getting  pants pulled    airport  killing  gran  "
"212","afp    european countries  banned  travelling  spreading  virus oh  poor  african countries    screwed twice   pandemic   economic system  theres    pandemic      world  count  rich gt"
"213","clementsidwal bethfishersport itvwales people   travelling  exemption forms      pandemic    "
"214","clareeliza     hospital          england throughout  pandemic travelling   public transport doctors nurses  admin staff        wife  parents        am"
"215","dianemarieposts   ridiculous   listening  metro morning       heaven sake whinewhine whine travelling   plans   loved ones visit   pandemic  risky blaming  govt   consequences  ones risky behaviour  selfish"
"216","planning  trip  dont     try   beautiful  learn   turkeytravel turkey turkeytime travel travelling travelblog traveladdict traveltheworld travelphotography greece greecetravel greeceislands "
"217","jswinn ciaraphelan newschambers irishmirror yes      travelling daily     countries    pandemic  yes  accept  pcr test   hse       hrs  departure     hrs"
"218","   west rushed  ban african countries  travelling   pandemic infested countries   omicron    countries    discovered  africa "
"219","ctvottawa   hope  symptoms  mild amp   recovers   longhaul effects    totally predictable amp    assumed risk  travelling   active pandemic particularly  countries  limited   population vaccinated"
"220","connorgillies nicolasturgeon   borisjohnson realise    global pandemic travelling  meant   curtailed   love  god    stop mutations    infected  separated   uninflected"
"221","mrjamesob frankly  hard  tell  brexit      midst  worldwide pandemic  prevents business   workers  travelling etc disputes  france  occurred amp driver shortages exist  eu       choose  own pathresponse "
"222","im  hed    travelling  globe  simonreeve     series   truly special   home   pandemic      lengthy informed segment  flooding  land management  ep incl salfordhydro  thelakes "
"223"," excitement    boys  overtaken  anxiety  travelling   pandemic     breakfast  koya  btstwt btspermissiontodanceonstage"
"224","mandomunda dont start         traveller  earns   markad   blamed  goberment   travelling    pandemic time    irresponsible attitude  airport authority  administration waiting hours   airport"
"225","profabdoolkarim   temporary travel ban   punishment   people travelling   pandemic     variant"
"226","  goes    travelling  week   home country   pandemic   finally getting  flying anxiety  control      charts  tips  fellow anxious flyers"
"227","davidhillfm tvkev ve  travelling      pandemic    ll   benidorm     "
"228"," corona pandemic   slowed         emergence    variant  south africa      careful   variant   variant omicron  increased  global tension  "
"229","rachaelvenables lbc profiteering    pandemic shouldn  happening   hk  tests  free  travelling return  hk"
"230","    continue      people   family travelling internationally  jollies     pandemic   "
"231","  people  travelling    personality traitespecially   pandemic omg"
"232","  wake   global pandemic  realised          travelling  facetoface meetings  increased  efficiency     led   question   basis  international arbitration "
"233","travelling   international pandemic      fainthearted packs traveltuesday   socialmedia"
"234","thats  risk travelling   pandemic     "
"235","inquirerdotnet  govt       own safety    pandemic   meantime   public servants  celebs travelling     travel na   wrong  "
"236","  fob   ramp system  helps  commuters travelling  luggage  fob ramp   constructed    short span   months  spite   difficult situation due   pandemic "
"237","tmprowell  travel    halted    travelling   lethal pandemic"
"238"," travelling  india northern    forgiven  thinking   pandemic   "
"239"," feel     stuck abroad   decided  travel   pandemic    risks       people  vaccines travelling   world   ones spreading   guess  time  punish  unvaccinated   eh"
"240"," car hire business  expected  grow rapidly  people wake   travelling   post pandemic world zuru getzuru "
"241"," car hire business  expected  grow rapidly  people wake   travelling   post pandemic world  vaccine rollouts    lockdowns  resumption  air travel  car rental  expected  boom   people move   explore zuru getzuru "
"242"," online conferences   boring travelling  curtailed hate  pandemic "
"243","news people    travelling   lethal pandemic selfish  ignorant"
"244","   zealand borders remain closed  prevent  spread   covid pandemic amp  safeguard  people    hope  enter  zealand     criticalpurposevisa  "
"245","telehealth means youre  travelling   appointment saving  money  carbon emissions greenhealthforum  telehealth    household name  covid    drivers    outside   pandemic"
"246","ctp unoenthusiasts personally    wearing mine   started despite   im exempt    wear      wearing   comic convention    pandemic started    issue    continue        im travelling   safety "
"247","railwaynorthern train  dbrg lgh express bathroomswashrooms  sinks   dirty   unhygienic  travelling   unhygienic   pandemicpls   needful"
"248","gracescolleenb  rachels thanksgiving didnt   planned  gf caught  cold  people  fighting    didnt quarantine   gf       travelling   pandemic  left  families quarantine bubble"
"249","introvertnacho waah thank   hope   enjoy  im   thinking  doing  alolan vacation theme    travelling  pandemic blues  stinging hard         played sm  dunno    stretch   days"
"250","dianemarieposts travelling   pandemic  definitely  risk      willing  accept  cope "
"251","jsphctrl          forced    vaccine    forbidden  travelling  enrolling  school   taking    public activity      vaccinated ramaphosa feb "
"252","ctvnewsvi   price  pay  travelling   global pandemic "
"253","supertylerc  hope  pandemic completely  people travelling amp    office  sick"
"254","qualifyfor xedwards sorry aatos     political egos  darkening  heart youre  ports    pandemic  youre ok  people   infected  covid die kids  orphans time        wayi stand   religion  travelling  sin"
"255"," focus  exports   dcfta   opportunity  georgia  travelling  meet  mayor  kutaisi  tbilisi yesterday massive improvements   road infrastructure  obvious    covid pandemic georgia   stop major infrastructure projects  "
